refinedScientificName,scientificNameAuthorship
Tetragonia tetragonoides,(Pall.) Kuntze
Oenothera tetraptera,Cav.
Cascabela thevetia,(L.) Lippold
Millettia thonningii,(Schumach. & Thonn.) Baker
Desmodium tortuosum,(Sw.) DC.
Solanum torvum,Sw.
Amaranthus tricolor,L.
Corchorus tridens,L.
Corchorus trilocularis,L.
Hibiscus trionum,L.
Lipotriche triternata,(Klatt) Orchard
Ipomoea muricata,(L.) Jacq.
Desmodium uncinatum,(Jacq.) DC.
Vigna unguiculata,(L.) Walp.
Stachytarpheta urticifolia,Sims
Paspalum urvillei,Steud.
Linum usitatissimum,L.
Inga vera,Willd.
Mollugo verticillata,L.
Solanum villosum,Mill.
Vitis vinifera,L.
Eragrostis virescens,J.Presl
Desmanthus virgatus,(L.) Willd.
Amaranthus viridis,L.
Pseudoconyza viscosa,(Mill.) D'Arcy
Foeniculum vulgare,Mill.
Phaseolus vulgaris,L.
Solanum wendlandii,Hook.f.
Tradescantia zebrina zebrina,""
Yucca aloifolia,L.
Cucumis anguria,L.
Crinum asiaticum,L.
Gossypium barbadense,L.
Ficus benjamina,L.
Tragus berteronianus,Schult.
Digitaria bicornis,(Lam.) Roem. & Schult.
Melicoccus bijugatus,Jacq.
Chrysophyllum cainito,L.
Tephrosia candida,DC.
Terminalia catappa,L.
Cyanthillium cinereum,(L.) H.Rob.
Cordia dichotoma,G.Forst.
Brachiaria distachya,(L.) Stapf
Ficus elastica,Roxb. ex Hornem.
Malpighia emarginata,DC.
Jasminum fluminense,Vell.
Thunbergia fragrans,Roxb.
Punica granatum,L.
Ocimum gratissimum,L.
Sorghum halepense,Pers.
Stylosanthes hamata,(L.) Taub.
Abutilon hirtum,(Lam.) Sweet
Tamarindus indica,L.
Eleusine indica,Gaertn.
Clerodendrum indicum,Kuntze
Launaea intybacea,(Jacq.) Beauverd
Leonurus japonicus,Houtt.
Swietenia mahagoni,(L.) Jacq.
Adonidia merrillii,(Becc.) Becc.
Leonotis nepetifolia,(L.) R.Br.
Cocos nucifera,L.
Eragrostis pilosa,(L.) P.Beauv.
Spondias purpurea,L.
Brachiaria reptans,(L.) C.A.Gardner & C.E.Hubb.
Crotalaria retusa,L.
Gliricidia sepium,(Jacq.) Kunth
Cenchrus setaceus,(Forssk.) Morrone
Xanthium strumarium,Lour.
Thymophylla tenuiloba,Small
Indigofera tinctoria,L.
Sphagneticola trilobata,(L.) Pruski
Erythrina variegata,L.
Crotalaria verrucosa,L.
Stemodia verticillata,(Mill.) Hassl.
Manilkara zapota,(L.) P.Royen
Amaranthus albus,L.
Symphoricarpos albus,(L.) S.F.Blake
Ailanthus altissima,(Mill.) Swingle
Agave americana,L.
Phytolacca americana,L.
Senecio angulatus,Vahl
Elaeagnus angustifolia,L.
Sisyrinchium angustifolium,Mill.
Erigeron annuus,(L.) Pers.
Prunus armeniaca,L.
Cycloloma atriplicifolium,(Spreng.) Coult.
Salix babylonica,L.
Impatiens balfourii,Hook.f.
Oenothera biennis,L.
Amaranthus blitoides,S.Watson
Lepidium bonariense,L.
Cuscuta campestris,Yunck.
Erigeron canadensis,L.
Elodea canadensis,Fraser ex Spach
Ficus carica,L.
Prunus cerasus,L.
Erysimum cheiri,Crantz
Buddleja davidii,Franch.
Amaranthus deflexus,L.
Cedrus deodara,(Roxb. ex D.Don) G.Don
Lepidium didymum,L.
Paspalum distichum,L.
Prunus domestica,L.
Prunus domestica insititia,(L.) C.K.Schneid.
Prunus dulcis,D.A.Webb
Carpobrotus edulis,(L.) N.E.Br.
Oenothera fallax,Renner em Rostanski
Azolla filiculoides,Lam.
Bidens frondosa,L.
Amorpha fruticosa,L.
Gomphocarpus fruticosus,(L.) W.T.Aiton
Chamaemelum fuscatum,(Brot.) Vasc.
Iris germanica,L.
Bougainvillea glabra,Choisy
Eucalyptus globulus,Labill.
Cardiospermum halicacabum,L.
Inula helenium,L.
Sporobolus indicus,(L.) R.Br.
Cyclospermum leptophyllum,(Pers.) Sprague ex Britton & P.Wilson
Euphorbia maculata,L.
Antirrhinum majus,L.
Lemna minuta,Kunth
Dysphania multifida,(L.) Mosyakin & Clemants
Cymbalaria muralis,"G.Gaertn., B.Mey. & Schreb."
Erucastrum nasturtiifolium,O.E.Schulz
Acer negundo,L.
Morus nigra,L.
Euphorbia nutans,Lag.
Xanthium strumarium strumarium,""
Iris pallida,Lam.
Oenothera parodiana,Munz
Veronica peregrina,L.
Veronica persica,Poir.
Oxalis pes-caprae,L.
Pinus pinea,L.
Robinia pseudoacacia,L.
Physalis pubescens,L.
Amaranthus retroflexus,L.
Alcea rosea,L.
Armoracia rusticana,"G.Gaertn., B.Mey. & Scherb."
Cynara cardunculus,L.
Bassia scoparia,(L.) A.J.Scott
Glebionis segetum,Fourr.
Cupressus sempervirens,L.
Mentha spicata,L.
Aralia spinosa,L.
Xanthium spinosum,L.
Symphyotrichum subulatum squamatum,(Spreng.) S.D.Sundb.
Halophila stipulacea,Asch.
Oxalis stricta,L.
Mentha suaveolens,Ehrh.
Abutilon theophrasti,Medik.
Rubia tinctorum,L.
Helianthus tuberosus,L.
Artemisia verlotiorum,Lamotte
Lepidium virginicum,L.
Artemisia absinthium,L.
Onopordum acanthium,L.
Carduus acanthoides,L.
Fumaria agraria,Lag.
Morus alba,L.
Sisymbrium altissimum,L.
Alyssum alyssoides,L.
Camelina alyssum,Thell.
Allium ampeloprasum,L.
Lamium amplexicaule,L.
Artemisia annua,L.
Helianthus annuus,L.
Scleranthus annuus,L.
Silene antirrhina,L.
Sagina apetala,Ard.
Medicago arabica,(L.) Huds.
Schismus arabicus,Nees
Malva arborea,(L.) Webb & Berthel.
Ammophila arenaria,(L.) Link
Gaillardia aristata,Pursh
Festuca arundinacea,Schreb.
Trifolium arvense,L.
Calendula arvensis,M.Bieb.
Convolvulus arvensis,L.
Buglossoides arvensis,(L.) I.M.Johnst.
Sonchus asper,(L.) Hill
Scabiosa atropurpurea,L.
Gynura aurantiaca,(Blume) DC.
Bidens aurea,Sherff
Lamarckia aurea,Moench
Cotula australis,Hook.f.
Myosotis azorica,H.C.Watson ex Hook.
Tanacetum balsamita,L.
Avena barbata,Pott ex Link
Schismus barbatus,(L.) Thell.
Eragrostis barrelieri,Daveau
Spergularia bocconei,(Scheele) Graebn.
Vulpia bromoides,Gray
Avena byzantina,K.Koch
Centaurea calcitrapa,L.
Arctotheca calendula,(L.) Levyns
Taraxacum campylodes,G.E.Haglund
Panicum capillare,L.
Crepis capillaris,(L.) Wallr.
Fumaria capreolata,L.
Chenopodium carinatum,R.Br.
Geranium carolinianum,L.
Daucus carota,L.
Aira caryophyllea,L.
Agrostis castellana,Boiss. & Reut.
Nepeta cataria,L.
Rhamnus cathartica,L.
Amaranthus celosioides,Kunth
Matricaria chamomilla,L.
Euphorbia characias,L.
Euryops chrysanthemoides,(DC.) B.Nord.
Erodium cicutarium,(L.) L'Hér.
Eragrostis cilianensis,(All.) Vignolo ex Janch.
Citrullus colocynthis,(L.) Schrad.
Lapsana communis,L.
Allium commutatum,Guss.
Bromus commutatus,Schrad.
Rumex conglomeratus,Murray
Cotula coronopifolia,L.
Anthemis cotula,L.
Cynoglossum creticum,Mill.
Rostraria cristata,(L.) Tzvelev
Cynosurus cristatus,L.
Sporobolus cryptandrus,A.Gray
Asclepias curassavica,L.
Eragrostis curvula,(Schrad.) Nees
Hainardia cylindrica,(Willd.) Greuter
Cynodon dactylon,(L.) Pers.
Euphorbia dentata,Michx.
Chenopodium desiccatum leptophylloides,(Murr) Wahl
Centaurea diffusa,Lam.
Vicia disperma,DC.
Geranium dissectum,L.
Brachypodium distachyon,(L.) P.Beauv.
Lepidium draba,L.
Rorippa dubia,(Pers.) Hara
Trifolium dubium,Sibth.
Tragopogon dubius,Scop.
Sclerochloa dura,P.Beauv.
Cenchrus echinatus,L.
Cynosurus echinatus,L.
Helminthotheca echioides,(L.) Holub
Arrhenatherum elatius,(L.) P.Beauv. ex J.Presl & C.Presl
Aira elegantissima,Schur
Cuscuta epilinum,Weihe
Cuscuta epithymum macranthera,(Heldr. & Sartoni) Engelm.
Cuscuta epithymum,L.
Bromus erectus,Huds.
Digitaria eriantha,Steud.
Taraxacum erythrospermum,Andrz. ex Besser
Ulex europaeus,L.
Avena fatua,L.
Datura ferox,L.
Crepis foetida,L.
Trifolium fragiferum,L.
Gaudinia fragilis,(L.) P.Beauv.
Salix fragilis,L.
Dipsacus fullonum,L.
Silene gallica,L.
Tamarix gallica,L.
Chloris gayana,Kunth
Chenopodium giganteum,D.Don
Agrostemma githago,L.
Acmispon glaber,(Vogel) Brouillet
Hypochaeris glabra,L.
Persicaria glabra,(Willd.) M.Gómez
Oenanthe globulosa,L.
Cerastium glomeratum,Thuill.
Euphorbia helioscopia,L.
Hedera helix,L.
Cardamine hirsuta,L.
Herniaria hirsuta,L.
Lathyrus hirsutus,L.
Vaccaria hispanica,(Mill.) Rauschert
Scolymus hispanicus,L.
Lotus palustris,Willd.
Bromus hordeaceus,L.
Atriplex hortensis,L.
Trifolium hybridum anatolicum,(Boiss.) M.Hossain
Bassia hyssopifolia,(Pall.) Kuntze
Centaurea iberica,Trevir. ex Spreng.
Hirschfeldia incana,(L.) Lagr.-Foss.
Cuscuta indecora,Choisy
Duchesnea indica,(Andrews) Teschem.
Plantago indica,L.
Melilotus indicus,(L.) All.
Barbarea intermedia,Boreau
Cichorium intybus,L.
Sisymbrium irio,L.
Lonicera japonica,Thunb.
Bromus japonicus,Thunb.
Chondrilla juncea,L.
Salsola kali,L.
Salsola kali tragus,(L.) Čelak.
Podospermum laciniatum,(L.) DC.
Helianthus laetiflorus,Pers.
Erigeron laevigatus,Rich.
Moluccella laevis,L.
Carthamus lanatus,L.
Holcus lanatus,L.
Euphorbia lathyris,L.
Lathyrus latifolius,L.
Centaurium littorale,(Turner) Gilmour
Valeriana locusta,L.
Acacia longifolia,(Andrews) Willd.
Medicago lupulina,L.
Reseda luteola,L.
Persicaria maculosa,Gray
Senecio madagascariensis,Poir.
Bromus madritensis,L.
Prunus mahaleb,L.
Vinca major,L.
Ammi majus,L.
Erodium malacoides,(L.) L'Hér.
Euphorbia marginata,Pursh
Silybum marianum,(L.) Gaertn.
Cakile maritima,Scop.
Lobularia maritima,(L.) Desv.
Polygonum maritimum,L.
Briza maxima,L.
Tordylium maximum,L.
Panicum maximum,Jacq.
Centaurea melitensis,L.
Melilotus siculus,Steud.
Viola japonica,Langsd. ex Ging.
Atriplex micrantha,Ledeb.
Camelina microcarpa,Andrz. ex DC.
Salvia microphylla,Kunth
Lysimachia minima,(L.) U.Manns & Anderb.
Medicago minima,(L.) L.
Briza minor,L.
Eragrostis minor,Host
Phalaris minor,Retz.
Arctium minus,Schkuhr
Cladanthus mixtus,(L.) Oberpr. & Vogt
Geranium molle,L.
Oenothera anomala,Curtis
Opuntia monacantha,(Willd.) Haw.
Genista monspessulana,(L.) L.A.S.Johnson
Cucurbita moschata,Duchesne
Erodium moschatum,(Burm.f.) L'Hér.
Lolium multiflorum,Lam.
Diplotaxis muralis,DC.
Ranunculus muricatus,L.
Hordeum murinum,L.
Hordeum murinum glaucum,(Steud.) Tzvelev
Hordeum murinum leporinum,(Link) Arcang.
Coleostephus myconis,(L.) Cass.
Alopecurus myosuroides,Huds.
Vulpia myuros,(L.) C.C.Gmel.
Petrorhagia nanteuilii,(Burnat) P.W.Ball & Heywood
Agrostis nebulosa,Boiss. & Reut.
Ballota nigra foetida,(Lam.) Hayek
Ballota nigra,L.
Brassica nigra,W.D.J.Koch
Centaurea nigrescens,Willd.
Apium nodiflorum,(L.) Lag.
Torilis nodosa,(L.) Gaertn.
Carduus nutans leiophyllus,(Petrovič) Stoj. & Stef.
Rumex obtusifolius,L.
Delairea odorata,Lem.
Viola odorata,L.
Sisymbrium officinale,(L.) Scop.
Symphytum officinale,L.
Anchusa officinalis,L.
Borago officinalis,L.
Calendula officinalis,L.
Fumaria officinalis,L.
Melissa officinalis,L.
Parietaria officinalis,L.
Salvia officinalis,L.
Saponaria officinalis,L.
Galega officinalis,L.
Asplenium ceterach,L.
Sisymbrium orientale,L.
Persicaria orientalis,(L.) Spach
Lagurus ovatus,L.
Urochloa panicoides,P.Beauv.
Neslia paniculata,(L.) Desv.
Tanacetum parthenium,(L.) Sch.Bip.
Fumaria parviflora,Lam.
Atriplex patula,L.
Silene pendula,L.
Thymophylla pentachaeta belenidium,(DC.) Strother
Euphorbia peplus,L.
Sarcocornia perennis,(Mill.) A.J.Scott
Hypericum perforatum,L.
Helianthus petiolaris,Nutt.
Gastridium phleoides,(Nees & Meyen) C.E.Hubb.
Urospermum picroides,(L.) Scop. ex F.W.Schmidt
Mentha piperita,L.
Echium plantagineum,L.
Euphorbia platyphyllos,L.
Tragopogon porrifolius,L.
Festuca pratensis,Huds.
Tragopogon pratensis,L.
Solanum pseudocapsicum,L.
Centaurium pulchellum,(Sw.) Druce
Rumex pulcher,L.
Mentha pulegium,L.
Frankenia pulverulenta,L.
Dysphania pumilio,(R.Br.) Mosyakin & Clemants
Geranium purpureum,Vill.
Geranium pusillum,L.
Hordeum pusillum,Nutt.
Carduus pycnocephalus,L.
Ipomoea quamoclit,L.
Bromus racemosus,L.
Hypochaeris radicata,L.
Raphanus raphanistrum,L.
Rhaponticum repens,(L.) Hidalgo
Ranunculus repens flore-pleno,DC.
Trifolium resupinatum,L.
Hedypnois rhagadioloides,(L.) F.W.Schmidt
Catapodium rigidum,(L.) C.E.Hubb.
Lolium rigidum,Gaudin
Bromus rigidus,Roth
Atriplex rosea,L.
Mentha longifolia,(L.) L.
Geranium rotundifolium,L.
Bromus rubens,L.
Oryza rufipogon,Griff.
Rapistrum rugosum,(L.) All.
Lactuca saligna,L.
Avena sativa,L.
Camelina sativa,Crantz
Lactuca sativa,L.
Pastinaca sativa,L.
Dipsacus sativus,(L.) Honck.
Leontodon saxatilis,Lam.
Humulus scandens,(Lour.) Merr.
Cytisus scoparius,(L.) Link
Medicago scutellata,(L.) Mill.
Centaurea cyanus,L.
Atriplex semibaccata,R.Br.
Arenaria serpyllifolia,L.
Croton serpyllifolius,Baill.
Lactuca serriola,L.
Crepis setosa,Haller f.
Leonurus sibiricus,L.
Salsola soda,L.
Centaurea solstitialis,L.
Euphorbia spathulata,Lam.
Avena sterilis,L.
Avena sterilis ludoviciana,(Durieu) Nyman
Atriplex suberecta,I.Verd.
Trifolium subterraneum,L.
Eragrostis superba,Peyr.
Atriplex tatarica,L.
Lolium temulentum,L.
Sonchus tenerrimus,L.
Carduus tenuiflorus,Curtis
Diplotaxis tenuifolia,(L.) DC.
Bupleurum tenuissimum,L.
Tribulus terrestris,L.
Polycarpon tetraphyllum,(L.) L.
Gleditsia triacanthos,L.
Ipomoea tricolor,Cav.
Viola tricolor,L.
Eleusine tristachya,(Lam.) Lam.
Bellardia trixago,(L.) All.
Medicago truncatula,Gaertn.
Holosteum umbellatum,L.
Coronilla varia,L.
Salvia verbenaca,L.
Suaeda vermiculata,Forssk. ex J.F.Gmel.
Myosotis verna,Nutt.
Setaria verticillata,(L.) P.Beauv.
Eruca vesicaria,(L.) Cav.
Setaria viridis,(L.) P.Beauv.
Visnaga daucoides,Gaertn.
Cirsium vulgare,(Savi) Ten.
Hordeum vulgare,L.
Marrubium vulgare,L.
Beta vulgaris,L.
Neonotonia wightii,(Wight & Arn.) J.A.Lackey
Cynoglossum amabile,Stapf & J.R.Drumm.
Enneapogon desvauxii,P.Beauv.
Euphorbia hyssopifolia,L.
Cortaderia jubata,(Lemoine ex Carrière) Stapf
Citrullus lanatus,(Thunb.) Matsum. & Nakai
Digitaria ternata,(A.Rich.) Stapf
Coriandrum sativum,L.
Crotalaria spectabilis,Roth
Tithonia tubaeformis,(Jacq.) Cass.
Dianthus armeria,L.
Centaurea benedicta,(L.) L.
Epilobium brachycarpum,C.Presl
Chenopodium carnosulum,Moq.
Myosotis discolor,Pers.
Trifolium glomeratum,L.
Herniaria hirsuta cinerea,(DC.) Cout.
Agrostis idahoensis,Nash
Apera interrupta,(L.) P.Beauv.
Conium maculatum,L.
Malva moschata,L.
Mesembryanthemum nodiflorum,L.
Stellaria pallida,(Dumort.) Crép.
Lotus pedunculatus,Cav.
Lepidium perfoliatum,L.
Lupinus polyphyllus,Lindl.
Hornungia procumbens,Hayek
Erysimum repandum,L.
Bromus secalinus,L.
Bromus sterilis,L.
Myosotis stricta,Link ex Roem. & Schult.
Senecio sylvaticus,L.
Bromus tectorum,L.
Chorispora tenella,DC.
Chenopodium vulvaria,L.
Pyracantha angustifolia,C.K.Schneid.
Pimpinella anisum,L.
Mentha aquatica,L.
Silene armeria,L.
Anchusa arvensis,(L.) M.Bieb.
Fumaria densiflora,DC.
Lepidium draba chalepense,(L.) P.Fourn.
Chenopodium glaucum,L.
Coreopsis lanceolata,L.
Lepidium latifolium,L.
Onopordum nervosum,Boiss.
Cucurbita pepo,L.
Crepis pulchra,L.
Salvia reflexa,Hornem.
Arctotis stoechadifolia,P.J.Bergius
Heterotheca subaxillaris,(Lam.) Britton & Rusby
Tecoma capensis,Lindl.
Aleurites moluccanus,Willd.
Echinochloa oryzoides,(Ard.) Fritsch
Eragrostis patula,Steud.
Duranta stenostachya,Tod.
Euphorbia thymifolia,L.
Amaranthus dubius,Mart. ex Thell.
Sisymbrium erysimoides,Desf.
Ballota nigra velutina,(Posp.) Patzak
Misopates orontium,(L.) Raf.
Salvia splendens,Sellow ex Schult.
Valeriana vesicaria,(L.) Mill.
Fumaria bastardii,Boreau
Lotus corniculatus,L.
Avena strigosa,Schreb.
Thunbergia alata,Bojer ex Sims
Panicum antidotale,Retz.
Cosmos bipinnatus,Cav.
Sesbania bispinosa,(Jacq.) W.Wight
